cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,seed,episodic_return,ecdf,n_episodes,n_seeds,method
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.001,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.002,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.003,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.004,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.005,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.006,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.007,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.008,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.009,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.01,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.011,1000,5,per-seed
0830-172036__NetHackChallenge-v0__exp1/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp1,0830-172036__NetHackChallenge-v0__exp1,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp1,0,0,0.0,0.012,1000,5,per-seed
