env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,group,cells,n_seeds,point,low,high,method
NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,8,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n8__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,19.594202898550726,13.180257510729614,24.035830618892508,median-range
NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,16,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n16__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,27.96718480138169,26.04793388429752,30.268707482993197,median-range
NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,32,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n32__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,29.870866141732282,27.348314606741575,32.33075734157651,median-range
NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,64,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,86.83071748878923,80.8745945945946,91.11322869955157,median-range
NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,128,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n128__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,71.99353448275862,66.4139303482587,86.82422293676314,median-range
NetHackChallenge-v0,both,grammar,0,10000000,5000,0,0.999,primitive,exp2,227,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__both__grammar__n227__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,66.58045292014303,60.71180555555556,80.61731493099121,median-range
NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,8,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n8__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,11.647266313932981,0.5392156862745098,11.82282793867121,median-range
NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,16,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n16__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,29.634078212290504,28.55467720685112,30.56598639455782,median-range
NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,32,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n32__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,29.966480446927374,27.167123287671235,31.3544474393531,median-range
NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,64,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n64__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,94.220696937698,90.79396462018731,99.72591006423983,median-range
NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,128,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n128__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,96.66702355460386,95.34571723426212,98.49791666666667,median-range
NetHackChallenge-v0,option,grammar,0,10000000,5000,0,0.999,primitive,exp2,227,0830-172041__NetHackChallenge-v0__exp2,0830-172041__NetHackChallenge-v0__exp2/NetHackChallenge-v0__option__grammar__n227__os0__max_episode_steps5000__discountprimitive__ent_coef0.01__exp2,5,88.26633785450062,82.0477299185099,97.98505603985056,median-range
