cell,group,env_id,condition,family,option_seed,budget,max_steps,reward_delay,gamma,discount,tag,n_options,n_draws,primitive_step,point,low,high,method,n_seeds,limit
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,38632.0,4.02726139088729,1.8529990911844896,9.0,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,39725.77150264233,3.9468241580790613,1.7701627156435678,8.520836082370474,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,40850.51049596577,3.8641095398650274,2.072863904285121,8.363424954914768,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,42007.09374945715,3.7494233901879532,2.507825371393268,8.267915625091748,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,43196.42285620754,3.614214905084308,3.127319727148839,8.169702179944725,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,44419.42493573249,6.443872929880189,3.4257137073321173,8.068708058998414,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,45677.05335669088,5.913674055187991,3.3322052492467638,7.964854534153119,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,46970.28848006584,5.347128294363678,3.297804326357168,7.858060648313708,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,48300.13842338707,4.764542162651693,3.315986107784979,7.748243152280995,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,49667.63984659014,5.503378868564383,3.33468266231263,11.905808352389236,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,51073.85876012562,5.335324689888133,3.345182752927127,11.713745673554433,median-range,5,9996584
0830-211803__NetHackChallenge-v0__exp3-pooled/NetHackChallenge-v0__action__max_episode_steps5000__discountprimitive__ent_coef0.01__exp3,0830-211803__NetHackChallenge-v0__exp3-pooled,NetHackChallenge-v0,action,-,0,10000000,5000,0,0.999,primitive,exp3,0,1,52519.89135594787,5.162512464216231,3.373678801524225,11.516245205197196,median-range,5,9996584
